business_type,category,sub_category
Other,Thrift Stores,other
Other,Ticket Sales,other
Other,Tiki Bars,other
Other,Tiling,other
Other,Tires,other
Other,Tobacco Shops,other
Other,Tours,other
Other,Towing,other
Other,Town Car Service,other
Other,Toy Stores,other
Other,Traditional Chinese Medicine,other
Other,Trailer Rental,other
Other,Train Stations,other
Other,Trainers,other
Other,Trains,other
Other,Trampoline Parks,other
Other,Translation Services,other
Other,Transmission Repair,other
Other,Transportation,other
Other,Travel Agents,other
Other,Travel Services,other
Other,Tree Services,other
Other,Trivia Hosts,other
Other,Trophy Shops,other
Other,Truck Rental,other
Other,Trusts,other
Other,Tui Na,other
Other,Tutoring Centers,other
Other,TV Mounting,other
Other,Uniforms,other
Other,University Housing,other
Other,Unofficial Yelp Events,other
Other,Urgent Care,other
Other,Urologists,other
Other,Used,other
Other,Used Bookstore,other
Other,Used Car Dealers,other
Other,Utilities,other
Other,Vacation Rental Agents,other
Other,Vacation Rentals,other
Other,Valet Services,other
Other,Vape Shops,other
Other,Vehicle Shipping,other
Other,Vehicle Wraps,other
Other,Venues & Event Spaces,other
Other,Vermouth Bars,other
Other,Veterinarians,other
Other,Video Game Stores,other
Other,Video/Film Production,other
Other,Videographers,other
Other,Videos & Video Game Rental,other
Other,Vintage & Consignment,other
Other,Vinyl Records,other
Other,Virtual Reality Centers,other
Other,Visitor Centers,other
Other,Vitamins & Supplements,other
Other,Vocational & Technical School,other
Other,Walk-in Clinics,other
Other,Walking Tours,other
Other,Wallpapering,other
Other,Watch Repair,other
Other,Watches,other
Other,Water Heater Installation/Repair,other
Other,Waterproofing,other
Other,Waxing,other
Other,Web Design,other
Other,Wedding Chapels,other
Other,Wedding Planning,other
Other,Weight Loss Centers,other
Other,Wheel & Rim Repair,other
Other,Whiskey Bars,other
Other,Wholesale Stores,other
Other,Wholesalers,other
Other,Wigs,other
Other,Wildlife Control,other
Other,Wills,other
Other,Window Washing,other
Other,Windows Installation,other
Other,Windshield Installation & Repair,other
Other,Wine & Spirits,other
Other,Wine Bars,other
Other,Wine Tasting Classes,other
Other,Wine Tasting Room,other
Other,Wineries,other
Other,Women's Clothing,other
Other,Workers Compensation Law,other
Other,Wraps,other
Other,Yelp Events,other
Other,Yoga,other
Other,Ziplining,other
Other,Zoos,other
